,odor_categ_woe,fat_categ_woe,temperature_categ_woe,turbidity_categ_woe,taste_categ_woe
odor_categ_woe,1.0,0.308910010830283,0.11001487608799079,-0.4207787776184492,-0.1828920777955398
fat_categ_woe,0.308910010830283,1.0,0.029694676706789228,-0.3224311490653684,0.23947497788239192
temperature_categ_woe,0.11001487608799079,0.029694676706789228,1.0,0.20028960459502831,0.10684672593457746
turbidity_categ_woe,-0.4207787776184492,-0.3224311490653684,0.20028960459502831,1.0,-0.04962387674015114
taste_categ_woe,-0.1828920777955398,0.23947497788239192,0.10684672593457746,-0.04962387674015114,1.0
